awayConference,awayMoneyline,awayScore,awayTeam_x,awayTeamId_x,gameId,homeConference,homeMoneyline,homeScore,homeTeam_x,homeTeamId_x,overUnder,overUnderOpen,provider,season,seasonType,spread,spreadOpen,startDate_x,majority_sign_sum,provider_count,homeTeam_y,awayTeam_y,homeTeamId_y,awayTeamId_y,neutralSite,startDate_y,confidence,reason_flag,rating_edge
Big West,601.0,66,Long Beach State,145,19297,MVC,-928.0,92,Missouri State,176,150.5,,consensus,2022,regular,12.5,,2021-11-23T01:00:00.000Z,2.0,2.0,Missouri State,Long Beach State,176,145,True,2021-11-23T01:00:00.000Z,high,strong_moneyline_conflict,
SEC,-931.0,80,Florida,87,19301,Pac-12,602.0,60,California,40,128.5,,consensus,2022,regular,-13.5,,2021-11-23T01:30:00.000Z,-2.0,2.0,California,Florida,40,87,True,2021-11-23T01:30:00.000Z,high,strong_moneyline_conflict,
ASUN,-285.0,70,Jacksonville State,128,19311,MVC,223.0,78,Valparaiso,335,127.5,,consensus,2022,regular,-6.5,,2021-11-23T02:00:00.000Z,-2.0,2.0,Valparaiso,Jacksonville State,335,128,True,2021-11-23T02:00:00.000Z,high,strong_moneyline_conflict,
WCC,-4586.0,107,Gonzaga,102,19318,MAC,1613.0,54,Central Michigan,45,156.0,,consensus,2022,regular,-34.0,,2021-11-23T04:00:00.000Z,0.0,2.0,Central Michigan,Gonzaga,45,102,True,2021-11-23T04:00:00.000Z,high,strong_moneyline_conflict,
Mountain West,-265.0,70,Fresno State,92,19320,WCC,213.0,63,Pepperdine,228,138.0,,consensus,2022,regular,-6.5,,2021-11-23T06:00:00.000Z,-2.0,2.0,Pepperdine,Fresno State,228,92,True,2021-11-23T06:00:00.000Z,high,strong_moneyline_conflict,
Am. East,-463.0,58,Vermont,337,19321,MVC,348.0,49,Evansville,82,124.0,,consensus,2022,regular,-9.5,,2021-11-23T16:00:00.000Z,0.0,2.0,Evansville,Vermont,82,337,True,2021-11-23T16:00:00.000Z,high,strong_moneyline_conflict,
Big West,474.0,43,Long Beach State,145,19330,OVC,-697.0,80,Murray State,184,144.0,,consensus,2022,regular,11.0,,2021-11-23T19:30:00.000Z,0.0,2.0,Murray State,Long Beach State,184,145,True,2021-11-23T19:30:00.000Z,high,strong_moneyline_conflict,
SWAC,945.0,51,Bethune-Cookman,23,19337,ASUN,-1694.0,59,Liberty,142,128.5,,consensus,2022,regular,18.0,,2021-11-23T22:00:00.000Z,0.0,2.0,Liberty,Bethune-Cookman,142,23,True,2021-11-23T22:00:00.000Z,high,strong_moneyline_conflict,
A-10,189.0,69,George Washington,96,19339,MAC,-232.0,77,Kent State,134,135.5,,consensus,2022,regular,5.5,,2021-11-23T22:30:00.000Z,0.0,2.0,Kent State,George Washington,134,96,True,2021-11-23T22:30:00.000Z,medium,moneyline_conflict,
CAA,-293.0,81,Delaware,66,19362,A-10,234.0,71,Fordham,91,134.5,,consensus,2022,regular,-7.0,,2021-11-24T00:30:00.000Z,-2.0,2.0,Fordham,Delaware,91,66,True,2021-11-24T00:30:00.000Z,high,strong_moneyline_conflict,
MVC,-283.0,76,Missouri State,176,19366,SoCon,225.0,77,East Tennessee State,75,139.5,,consensus,2022,regular,-7.0,,2021-11-24T01:00:00.000Z,-2.0,2.0,East Tennessee State,Missouri State,75,176,True,2021-11-24T01:00:00.000Z,high,strong_moneyline_conflict,
Big West,-450.0,67,Cal State Fullerton,37,19369,WAC,339.0,72,UT Rio Grande Valley,326,144.0,,consensus,2022,regular,-9.0,,2021-11-24T01:00:00.000Z,0.0,2.0,UT Rio Grande Valley,Cal State Fullerton,326,37,True,2021-11-24T01:00:00.000Z,high,strong_moneyline_conflict,
Pac-12,229.0,87,Washington,343,19376,Summit,-290.0,76,South Dakota State,270,156.5,,consensus,2022,regular,6.5,,2021-11-24T02:30:00.000Z,2.0,2.0,South Dakota State,Washington,270,343,True,2021-11-24T02:30:00.000Z,high,strong_moneyline_conflict,
Horizon,204.0,56,Milwaukee,172,19387,Ivy,-253.0,69,Yale,360,139.0,,consensus,2022,regular,6.5,,2021-11-24T16:00:00.000Z,0.0,2.0,Yale,Milwaukee,360,172,True,2021-11-24T16:00:00.000Z,high,strong_moneyline_conflict,
MAC,-241.0,69,Akron,3,19386,MVC,194.0,60,Evansville,82,120.5,,consensus,2022,regular,-5.5,,2021-11-24T16:00:00.000Z,0.0,2.0,Evansville,Akron,82,3,True,2021-11-24T16:00:00.000Z,medium,moneyline_conflict,
OVC,208.0,62,Eastern Illinois,77,19390,Am. East,-258.0,64,UAlbany,306,130.5,,consensus,2022,regular,6.5,,2021-11-24T17:00:00.000Z,0.0,2.0,UAlbany,Eastern Illinois,306,77,True,2021-11-24T17:00:00.000Z,high,strong_moneyline_conflict,
Big West,393.0,85,Long Beach State,145,19389,Horizon,-540.0,76,Wright State,357,151.5,,consensus,2022,regular,10.5,,2021-11-24T17:00:00.000Z,0.0,2.0,Wright State,Long Beach State,357,145,True,2021-11-24T17:00:00.000Z,high,strong_moneyline_conflict,
Sun Belt,185.0,63,App State,9,19396,Am. East,-229.0,65,Vermont,337,122.5,,consensus,2022,regular,5.5,,2021-11-24T18:30:00.000Z,0.0,2.0,Vermont,App State,337,9,True,2021-11-24T18:30:00.000Z,medium,moneyline_conflict,
OVC,-197.0,74,Murray State,184,19405,CAA,163.0,62,James Madison,129,138.0,,consensus,2022,regular,-4.5,,2021-11-24T19:30:00.000Z,0.0,2.0,James Madison,Murray State,129,184,True,2021-11-24T19:30:00.000Z,medium,moneyline_conflict,
Big Sky,210.0,63,Idaho,117,19407,Big West,-263.0,67,Cal Poly,35,132.0,,consensus,2022,regular,6.0,,2021-11-24T20:00:00.000Z,0.0,2.0,Cal Poly,Idaho,35,117,True,2021-11-24T20:00:00.000Z,high,strong_moneyline_conflict,
