option,season,bucket_kind,bucket,n,avg_pick_prob,win_rate,roi
raw_mlp_sigma,2024,probability,"[0.5, 0.55)",2018,0.524087185442821,0.5014866204162537,-0.04261645193260654
raw_mlp_sigma,2024,probability,"[0.55, 0.6)",1503,0.5732568881833134,0.5089820359281437,-0.028307022318998357
raw_mlp_sigma,2024,probability,"[0.6, 0.65)",918,0.6229233399934979,0.5108932461873639,-0.02465834818775994
raw_mlp_sigma,2024,probability,"[0.65, 0.7)",457,0.672236062693254,0.5229759299781181,-0.001591406405410792
raw_mlp_sigma,2024,probability,"[0.7, 0.75)",198,0.7193717057716552,0.48484848484848486,-0.07438016528925617
raw_mlp_sigma,2024,probability,"[0.75, 0.8)",117,0.7712400489292771,0.5555555555555556,0.0606060606060606
raw_mlp_sigma,2024,probability,"[0.8, 0.85)",49,0.8231830866638895,0.3673469387755102,-0.2987012987012987
raw_mlp_sigma,2024,probability,"[0.85, 1.01)",49,0.9016480304251768,0.5306122448979592,0.012987012987012983
raw_mlp_sigma,2024,edge,"[0.0, 0.02)",817,0.5332001730157735,0.48714810281517745,-0.06998998553466118
raw_mlp_sigma,2024,edge,"[0.02, 0.04)",688,0.5534637951373894,0.5087209302325582,-0.02880549682875264
raw_mlp_sigma,2024,edge,"[0.04, 0.06)",635,0.5737098282416818,0.5322834645669291,0.016177523264137437
raw_mlp_sigma,2024,edge,"[0.06, 0.08)",480,0.5933548313147569,0.49583333333333335,-0.05340909090909091
raw_mlp_sigma,2024,edge,"[0.08, 0.1)",422,0.6136340512663697,0.5165876777251185,-0.013787160706591986
raw_mlp_sigma,2024,edge,"[0.1, 0.15)",675,0.6456403421498044,0.5022222222222222,-0.04121212121212121
raw_mlp_sigma,2024,edge,"[0.15, 1.0)",615,0.7410400981540882,0.5154471544715448,-0.015964523281596456
best_posthoc_sigma,2024,probability,"[0.5, 0.55)",2376,0.5235208058633289,0.49915824915824913,-0.047061524334251606
best_posthoc_sigma,2024,probability,"[0.55, 0.6)",1604,0.5727693724583689,0.5155860349127181,-0.0156993878939016
best_posthoc_sigma,2024,probability,"[0.6, 0.65)",770,0.6223163701852541,0.5116883116883116,-0.02314049586776858
best_posthoc_sigma,2024,probability,"[0.65, 0.7)",298,0.6714340300485706,0.5335570469798657,0.01860890787065283
best_posthoc_sigma,2024,probability,"[0.7, 0.75)",122,0.7220415341117402,0.48360655737704916,-0.07675111773472429
best_posthoc_sigma,2024,probability,"[0.75, 0.8)",65,0.7735649226732224,0.38461538461538464,-0.26573426573426573
best_posthoc_sigma,2024,probability,"[0.8, 0.85)",41,0.8224121105499561,0.5609756097560976,0.07095343680709536
best_posthoc_sigma,2024,probability,"[0.85, 1.01)",33,0.8878344338988424,0.5151515151515151,-0.016528925619834718
best_posthoc_sigma,2024,edge,"[0.0, 0.02)",929,0.5335347519231596,0.5026910656620022,-0.040317056463450435
best_posthoc_sigma,2024,edge,"[0.02, 0.04)",765,0.5538884004076897,0.5058823529411764,-0.034224598930481284
best_posthoc_sigma,2024,edge,"[0.04, 0.06)",653,0.5738324149542646,0.5206738131699847,-0.005986356675483785
best_posthoc_sigma,2024,edge,"[0.06, 0.08)",478,0.5934784630414156,0.5167364016736402,-0.013503233168505137
best_posthoc_sigma,2024,edge,"[0.08, 0.1)",361,0.6135256274792137,0.4986149584487535,-0.04809871568874338
best_posthoc_sigma,2024,edge,"[0.1, 0.15)",512,0.6440454019837101,0.517578125,-0.01189630681818182
best_posthoc_sigma,2024,edge,"[0.15, 1.0)",389,0.7431799796645954,0.493573264781491,-0.057723767235335344
constant_14_sigma,2024,probability,"[0.5, 0.55)",2486,0.5233545968477407,0.498793242156074,-0.0477583558838587
constant_14_sigma,2024,probability,"[0.55, 0.6)",1583,0.5719449864834307,0.5198989260897031,-0.00746568655602136
constant_14_sigma,2024,probability,"[0.6, 0.65)",746,0.6216440265156178,0.5053619302949062,-0.03521813307336095
constant_14_sigma,2024,probability,"[0.65, 0.7)",254,0.6714965414691519,0.5196850393700787,-0.007874015748031496
constant_14_sigma,2024,probability,"[0.7, 0.75)",110,0.7226931616271999,0.5,-0.045454545454545456
constant_14_sigma,2024,probability,"[0.75, 0.8)",60,0.7737294906436942,0.45,-0.14090909090909093
constant_14_sigma,2024,probability,"[0.8, 0.85)",40,0.8225912151712269,0.475,-0.09318181818181817
constant_14_sigma,2024,probability,"[0.85, 1.01)",30,0.8917506213275324,0.5666666666666667,0.08181818181818182
constant_14_sigma,2024,edge,"[0.0, 0.02)",948,0.533367959131135,0.5031645569620253,-0.039413118527042566
constant_14_sigma,2024,edge,"[0.02, 0.04)",792,0.5536026450902777,0.5037878787878788,-0.03822314049586776
